ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_TOTAL,2019,88.195,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_AGR,2019,99.469,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MAN,2019,81.115,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_CON,2019,86.983,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MEL,2019,70.015,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MKT,2019,87.329,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_PUB,2019,48.435,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_X,2019,98.369,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_TOTAL,2019,82.181,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_AGR,2019,99.151,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MAN,2019,78.564,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_CON,2019,87.931,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MEL,2019,70.618,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MKT,2019,80.259,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_PUB,2019,35.753,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_X,2019,96.601,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_TOTAL,2019,94.03,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_AGR,2019,99.717,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MAN,2019,87.67,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_CON,2019,67.11,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MEL,2019,64.188,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MKT,2019,93.47,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_PUB,2019,66.624,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_X,2019,99.478,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_TOTAL,2011,84.316,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_AGR,2011,99.761,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_NAG,2011,68.099,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_TOTAL,2011,77.162,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_AGR,2011,99.579,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_NAG,2011,59.299,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_TOTAL,2011,91.334,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_AGR,2011,99.897,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_NAG,2011,79.529,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_TOTAL,2011,84.316,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_AGR,2011,99.761,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_IND,2011,77.135,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_SER,2011,66.336,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_TOTAL,2011,77.162,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_AGR,2011,99.579,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_IND,2011,78.498,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_SER,2011,52.263,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_SECTOR_TOTAL,2011,91.334,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_SECTOR_AGR,2011,99.897,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_SECTOR_IND,2011,59.529,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_SECTOR_SER,2011,80.083,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_TOTAL,2011,84.316,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_AGR,2011,99.761,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_MAN,2011,79.286,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_CON,2011,86.342,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_MEL,2011,38.257,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_MKT,2011,87.173,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGGREGATE_PUB,2011,37.808,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_TOTAL,2011,77.162,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_AGR,2011,99.579,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_MAN,2011,82.521,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_CON,2011,87.511,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_MEL,2011,35.962,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_MKT,2011,78.301,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGGREGATE_PUB,2011,28.65,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_TOTAL,2011,91.334,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_AGR,2011,99.897,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_MAN,2011,58.967,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_CON,2011,60.477,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_MEL,2011,58.913,U,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_MKT,2011,93.254,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGGREGATE_PUB,2011,52.37,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_TOTAL,2004,79.162,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_AGR,2004,98.47,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_NAG,2004,68.223,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_TOTAL,2004,70.479,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_AGR,2004,96.956,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_NAG,2004,59.803,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_TOTAL,2004,89.021,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_AGR,2004,99.578,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_NAG,2004,80.522,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_TOTAL,2004,79.162,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_AGR,2004,98.47,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_IND,2004,77.412,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_SER,2004,66.693,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_SECTOR_X,2004,,U,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_TOTAL,2004,70.479,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_AGR,2004,96.956,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_IND,2004,77.877,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_SER,2004,54.74,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_SECTOR_X,2004,,U,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_SECTOR_TOTAL,2004,89.021,B,,I11:264,R1:3513
